,Symbol,Description,OrderID,Quantity,Action,Exchange,Side,Price,News
306,AAL,American Airlines Group Inc,2101,633000,M,2,B,40.55,50
307,AAPL,Apple Inc,3102,326000,M,3,B,128.75,0
308,ADBE,Adobe Systems Inc,3203,605000,M,3,S,113.55,0
309,ADI,Analog Devices Inc,3204,122000,M,3,S,76.37,0
310,ADP,Automatic Data Processing Inc,2205,471000,M,2,S,95.27,0
311,ADSK,Autodesk Inc,3206,113000,M,3,S,81.42,0
312,AKAM,Akamai Technologies Inc,3107,202000,M,3,B,71.7,50
313,ALXN,Alexion Pharmaceuticals Inc,2108,256000,M,2,B,136.82,50
314,AMAT,Applied Materials Inc,1209,371000,M,1,S,28.05,100
315,AMGN,Amgen Inc,2210,465000,M,2,S,160.81,100
316,AMZN,Amazon.com Inc,2111,426000,M,2,B,832.35,0
317,ATVI,Activision Blizzard Inc,3212,661000,M,3,S,31.65,100
318,AVGO,Broadcom Ltd,1213,390000,M,1,S,203.85,0
319,BBBY,Bed Bath & Beyond Inc,2114,760000,M,2,B,41.79,100
320,BIDU,Baidu Inc,2115,829000,M,2,B,173.82,0
321,BIIB,Biogen Inc,1216,766000,M,1,S,281.83,0
322,BMRN,Biomarin Pharmaceutical Inc,3117,400000,M,3,B,88.59,50
323,CA,CA Inc,3118,738000,M,3,B,30.95,0
324,CELG,Celgene Corp,2119,868000,M,2,B,117.41,0
325,CERN,Cerner Corp,3220,440000,M,3,S,61.92,100
326,CHKP,Check Point Software Technologies Ltd,1121,359000,M,1,B,97.91,0
327,CHTR,Charter Communications Inc,2122,988000,M,2,B,326.85,0
328,CMCSA,Comcast Corp,3123,600000,M,3,B,78.61,50
329,COST,Costco Wholesale Corp,1124,784000,M,1,B,165.36,50
330,CSCO,Cisco Systems Inc,2225,721000,M,2,S,30.55,0
331,CSX,CSX Corp,1226,583000,M,1,S,42.65,50
332,CTRP,Ctrip.Com International Ltd,3227,361000,M,3,S,53.12,100
333,CTSH,Cognizant Technology Solutions Corp,3128,563000,M,3,B,48.95,50
334,CTXS,Citrix Systems Inc,2129,452000,M,2,B,67.74,50
335,DISCA,Discovery Communications Inc,3230,170000,M,3,S,28.24,0
336,DISCK,Discovery Communications Inc,3131,509000,M,3,B,27.4,0
337,DISH,DISH Network Corp,2132,208000,M,2,B,66.14,50
338,DLTR,Dollar Tree Inc,2133,481000,M,2,B,76.39,0
339,EA,Electronic Arts,1134,960000,M,1,B,83.0,0
340,EBAY,eBay Inc,3135,726000,M,3,B,32.18,0
341,ESRX,Express Scripts Holding Co,2236,740000,M,2,S,69.14,0
